,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
463,Freeport,US,40.6576,-73.5832,57.18,71,100,3.44,overcast clouds
464,Kameda,JP,37.8667,139.1167,70.92,63,0,10.36,clear sky
465,Ust-Maya,RU,60.4167,134.5333,35.51,53,89,4.83,overcast clouds
466,Benjamin Constant,BR,-4.3831,-70.0311,78.93,94,77,2.53,broken clouds
467,Ponta Delgada,PT,37.7333,-25.6667,56.5,76,20,11.5,few clouds
468,Nago,JP,26.5881,127.9761,82.83,79,62,11.92,broken clouds
469,Hamilton,US,39.1834,-84.5333,72.57,59,0,5.75,clear sky
470,Lincoln,US,40.8,-96.667,60.69,35,0,28.77,clear sky
471,Cayenne,GF,4.9333,-52.3333,79.09,1,0,0.0,clear sky
472,Sao Lourenco Do Sul,BR,-31.3653,-51.9783,57.22,60,0,4.99,clear sky
473,Mayumba,GA,-3.432,10.6554,77.61,87,100,1.57,overcast clouds
474,Panalingaan,PH,8.7842,117.4231,86.88,64,81,2.21,broken clouds
475,Quatre Cocos,MU,-20.2078,57.7625,75.31,65,99,17.16,overcast clouds
476,Shizunai,JP,42.3339,142.3669,48.2,64,22,10.51,few clouds
477,Synya,RU,65.3718,58.0387,21.47,87,100,1.57,overcast clouds
478,Nampula,MZ,-15.1165,39.2666,70.52,97,100,4.23,overcast clouds
479,Naron,ES,43.5167,-8.1528,52.68,90,91,8.61,overcast clouds
480,Pitanga,BR,-24.7572,-51.7614,62.13,99,100,0.25,overcast clouds
481,Arrifes,PT,37.7667,-25.7,54.23,76,20,11.5,few clouds
482,Geraldton,AU,-28.7667,114.6,79.21,34,2,16.11,clear sky
483,Kokopo,PG,-4.352,152.2633,84.15,65,88,4.38,overcast clouds
484,Tarnogskiy Gorodok,RU,60.4997,43.5761,32.04,94,100,3.58,overcast clouds
485,Axim,GH,4.8699,-2.2405,79.65,88,100,5.06,overcast clouds
486,Moose Factory,CA,51.2585,-80.6094,35.6,51,100,11.5,overcast clouds
487,Saint Anthony,US,45.0205,-93.218,61.05,81,100,25.32,overcast clouds
488,Karpathos,GR,35.507,27.2132,60.76,88,0,9.22,clear sky
489,Yar-Sale,RU,66.8333,70.8333,-4.22,98,73,2.19,broken clouds
490,Dunedin,NZ,-45.8742,170.5036,56.8,66,97,15.01,overcast clouds
491,Puerto Rondon,CO,6.2805,-71.1,80.47,74,100,5.17,overcast clouds
492,College,US,64.8569,-147.8028,53.92,38,75,5.75,broken clouds
493,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,88,40,13.15,scattered clouds
494,Umm Kaddadah,SD,13.6017,26.6876,78.19,9,4,11.36,clear sky
495,Belton,US,38.812,-94.5319,71.49,64,75,21.85,broken clouds
496,Faya,SA,18.3851,42.4509,59.11,41,25,3.65,scattered clouds
497,Simnas,LT,54.4,23.65,41.0,95,100,5.53,overcast clouds
498,Port-De-Bouc,FR,43.4,4.9833,53.58,84,0,6.91,clear sky
499,Stabat,ID,3.761,98.4513,80.8,70,38,1.25,scattered clouds
500,Katsuura,JP,35.1333,140.3,66.22,88,100,7.7,heavy intensity rain
501,Sulam,IL,32.6061,35.3341,64.85,77,100,2.42,overcast clouds
502,Biryusinsk,RU,55.9634,97.8235,27.59,46,100,4.45,overcast clouds
503,Ourossogui,SN,15.6064,-13.3211,86.72,19,0,14.94,clear sky
504,Ulkan,RU,57.243,107.3223,27.41,79,100,8.99,light snow
505,Sisimiut,GL,66.9395,-53.6735,28.72,97,100,5.32,light snow
506,Vaitape,PF,-16.5167,-151.75,79.75,76,75,8.16,moderate rain
507,San Patricio,US,28.017,-97.5169,77.09,73,98,16.51,overcast clouds
508,Nemuro,JP,43.3236,145.575,42.78,71,3,20.07,clear sky
509,Itai,BR,-23.4178,-49.0906,64.06,92,51,1.16,broken clouds
510,Sal Rei,CV,16.1833,-22.9167,70.72,79,1,16.33,clear sky
511,Bafoulabe,ML,13.8065,-10.8321,90.68,12,8,6.29,clear sky
512,Iranshahr,IR,27.2025,60.6848,75.54,29,0,0.0,clear sky
513,Wenling,CN,28.3669,121.36,68.32,90,89,5.91,overcast clouds
514,Ketchikan,US,55.3422,-131.6461,45.07,81,100,19.57,moderate rain
515,Neuquen,AR,-38.9516,-68.0591,51.69,66,0,2.3,clear sky
516,Altay,CN,47.8667,88.1167,39.29,96,100,4.81,light rain
517,Richards Bay,ZA,-28.783,32.0377,67.66,95,5,2.51,clear sky
518,Ushirombo,TZ,-3.4919,31.9639,65.43,96,100,3.83,overcast clouds
519,Kaeo,NZ,-35.1,173.7833,70.32,66,43,11.21,scattered clouds
520,Mitsamiouli,KM,-11.3847,43.2844,81.23,82,100,11.16,overcast clouds
521,Fort Nelson,CA,58.8053,-122.7002,51.39,35,75,16.11,broken clouds
522,Yumen,CN,40.2833,97.2,65.17,16,63,7.65,broken clouds
523,Pingyi,CN,35.5006,117.6308,78.98,44,95,10.22,overcast clouds
524,Marsa Matruh,EG,31.3525,27.2453,63.32,56,0,3.94,clear sky
525,Vanimo,PG,-2.6741,141.3028,86.18,64,50,6.24,scattered clouds
526,Lingao,CN,19.9103,109.6859,83.91,66,5,5.5,clear sky
527,Paragominas,BR,-2.9667,-47.4833,70.45,99,98,0.74,light rain
528,Bambanglipuro,ID,-7.95,110.2833,82.62,79,100,2.59,overcast clouds
529,Pirgos,GR,35.1167,25.7178,60.62,81,0,4.97,clear sky
530,Half Moon Bay,US,37.4636,-122.4286,67.78,65,0,24.16,mist
531,Olinda,BR,-8.0089,-34.8553,82.13,78,40,4.61,scattered clouds
532,Vicuna,CL,-30.0319,-70.7081,49.73,53,4,1.74,clear sky
533,Hualmay,PE,-11.0964,-77.6139,67.46,86,13,8.72,few clouds
534,Srednekolymsk,RU,67.45,153.6833,20.64,79,100,3.24,overcast clouds
535,Lucea,JM,18.451,-78.1736,75.06,80,100,8.72,overcast clouds
536,Phan Thiet,VN,10.9333,108.1,86.47,63,68,6.87,broken clouds
537,Tikrit,IQ,34.6071,43.6782,73.65,14,100,2.73,overcast clouds
538,Santa Isabel,BR,-23.3156,-46.2214,70.9,79,1,3.58,clear sky
539,Matadi,CD,-5.8167,13.45,74.98,96,100,0.76,overcast clouds
540,Gazanjyk,TM,39.2446,55.5154,61.5,66,0,4.36,clear sky
541,Arman,RU,59.7,150.1667,31.86,61,100,4.68,overcast clouds
542,Tevriz,RU,57.509,72.4042,28.18,66,100,3.31,overcast clouds
543,Sorkjosen,NO,69.8,20.9333,30.2,93,75,3.44,broken clouds
544,Leopold,AU,-38.1833,144.4667,64.18,66,100,6.91,overcast clouds
545,Maltahohe,NA,-24.8333,16.9833,56.86,66,0,7.2,clear sky
546,Bergschenhoek,NL,51.99,4.4986,53.06,72,41,10.36,scattered clouds
547,Malanje,AO,-9.5402,16.341,61.43,94,97,2.71,overcast clouds
548,Dawei,MM,14.0833,98.2,85.98,70,65,4.7,broken clouds
549,Birin,NP,26.8865,88.0718,67.87,58,0,2.57,clear sky
550,Acapulco,MX,16.8634,-99.8901,80.42,78,40,9.22,scattered clouds
551,Grindavik,IS,63.8424,-22.4338,43.27,81,75,0.0,broken clouds
552,Tautira,PF,-17.7333,-149.15,79.21,79,96,12.15,moderate rain
553,Guangshui,CN,31.6199,113.9978,77.9,65,4,6.93,clear sky
554,Nazca,PE,-14.8333,-74.95,69.85,69,7,3.62,clear sky
555,Xiamen,CN,24.4798,118.0819,80.65,78,40,6.71,mist
556,Tourlaville,FR,49.6383,-1.5664,53.02,87,100,11.5,overcast clouds
557,Naryan-Mar,RU,67.6713,53.087,8.17,95,100,5.55,overcast clouds
558,Homer,US,59.6425,-151.5483,47.77,68,100,5.01,overcast clouds
559,Stephenville,US,32.2207,-98.2023,78.87,61,0,16.11,clear sky
560,Plana Nad Luznici,CZ,49.3544,14.7015,50.45,93,100,12.53,overcast clouds
561,Prince Rupert,CA,54.3161,-130.3201,44.69,81,100,33.38,light rain
562,Langsa,ID,4.4683,97.9683,85.87,67,60,1.07,broken clouds
563,Husavik,IS,66.0449,-17.3389,43.84,77,90,5.61,overcast clouds
564,Margate,GB,51.3813,1.3862,53.31,81,100,5.01,overcast clouds
565,Gouyave,GD,12.1646,-61.7296,75.97,83,20,0.0,few clouds
566,Sorong,ID,-0.8833,131.25,85.19,69,81,5.32,broken clouds
567,Zambezi,ZM,-13.5432,23.1047,66.85,77,100,3.85,overcast clouds
568,Bayan,CN,46.0833,127.4,53.65,29,47,13.44,scattered clouds
569,Baruun-Urt,MN,46.6806,113.2792,51.24,29,57,11.97,broken clouds
570,Aksaray,TR,38.3726,34.0254,58.24,40,5,2.93,clear sky
571,Worthington,US,40.0931,-83.018,73.45,59,0,5.75,clear sky
572,Juli,PE,-16.2167,-69.45,39.6,77,6,2.01,clear sky
573,Victoria,HK,22.2855,114.1577,84.25,83,65,5.01,broken clouds
574,Cobija,BO,-11.0267,-68.7692,78.8,76,100,1.95,overcast clouds
575,Chak Azam Sahu,PK,30.75,73.0333,82.47,24,0,5.57,clear sky
576,Casian,PH,11.035,119.7136,83.53,77,100,16.4,overcast clouds
577,Nan,TH,18.8333,100.6667,82.42,79,0,1.14,clear sky
578,Pisco,PE,-13.7,-76.2167,64.45,88,0,3.44,clear sky
579,Linfen,CN,36.0889,111.5189,74.37,32,100,1.97,light rain
580,Brownsville,US,25.9018,-97.4975,78.1,83,100,7.0,overcast clouds
581,Gagra,GE,43.3283,40.2239,56.32,55,0,9.35,clear sky
582,Buin,CL,-33.7333,-70.75,64.74,61,86,2.15,overcast clouds
583,Banisilan,PH,7.4908,124.7242,82.36,64,61,3.13,broken clouds
584,Akdepe,TM,42.0551,59.3788,57.29,59,28,12.44,scattered clouds
585,Sohbatpur,PK,28.5202,68.5434,88.88,13,100,5.23,overcast clouds
586,Guia,ES,28.1397,-15.6329,60.98,76,100,7.81,overcast clouds
587,Zenzeli,RU,45.9241,47.0474,50.13,77,54,5.35,broken clouds
588,Venice,US,27.0998,-82.4543,77.02,59,40,12.66,scattered clouds
589,Iqaluit,CA,63.7506,-68.5145,6.53,78,20,2.3,few clouds
590,Dongzhen,CN,22.3797,110.9389,82.8,72,19,8.93,moderate rain
591,Bloomsburg,US,41.0037,-76.4549,55.58,66,10,3.36,clear sky
592,Ambilobe,MG,-13.2,49.05,70.56,92,75,3.71,broken clouds
593,Puerto Cabello,VE,10.4731,-68.0125,76.64,83,100,8.01,overcast clouds
594,Matagami,CA,49.7502,-77.6328,35.71,35,100,8.05,overcast clouds
595,Ondjiva,AO,-17.0667,15.7333,61.9,52,6,5.41,clear sky
596,Oistins,BB,13.0667,-59.5333,77.09,73,20,14.97,few clouds
597,Gushikawa,JP,26.3544,127.8686,81.99,63,75,12.66,broken clouds
598,Kyra,RU,49.5776,111.9753,40.08,26,47,12.86,scattered clouds
599,Igrim,RU,63.1906,64.4162,25.86,97,100,3.33,overcast clouds
600,Cartagena,CO,10.3997,-75.5144,80.22,83,20,3.44,few clouds
601,Santa Ana,US,33.7456,-117.8678,75.25,47,0,10.36,clear sky
602,Umea,SE,63.8284,20.2597,28.33,86,75,4.61,broken clouds
603,General Roca,AR,-39.0333,-67.5833,60.73,36,0,24.18,clear sky
604,Carhuaz,PE,-9.2819,-77.6447,56.64,92,100,2.1,overcast clouds
605,Muzhi,RU,65.3667,64.6667,8.53,94,100,2.39,overcast clouds
606,Broken Hill,AU,-31.95,141.4333,73.26,44,97,15.21,overcast clouds
607,Udachnyy,RU,66.4167,112.4,16.86,81,98,4.43,overcast clouds
608,Evensk,RU,61.95,159.2333,28.72,72,93,23.6,overcast clouds
609,Barreirinha,BR,-2.7933,-57.07,74.23,96,100,3.11,overcast clouds
610,Mersing,MY,2.4312,103.8405,85.91,79,40,3.44,scattered clouds
611,Saint-Augustin,CA,51.226,-58.6502,33.96,98,100,14.18,light snow
612,Liepaja,LV,56.5419,21.0367,46.38,66,0,11.5,clear sky
613,Shenzhen,CN,22.5455,114.0683,84.15,99,60,6.24,broken clouds
614,Bahia De Caraquez,EC,-0.6,-80.4167,78.98,85,36,5.1,scattered clouds
615,Fallon,US,39.4735,-118.7774,58.44,22,0,5.75,clear sky
616,Grand Gaube,MU,-20.0064,57.6608,75.6,66,100,5.99,overcast clouds
617,Santa Cruz De Tenerife,ES,28.4682,-16.2546,63.72,91,40,5.99,scattered clouds
618,Muros,ES,42.7762,-9.0603,54.84,84,56,7.83,broken clouds
619,Lokomotivnyy,RU,53.0118,60.5684,37.22,50,100,6.4,overcast clouds
620,Sambava,MG,-14.2667,50.1667,74.62,92,97,8.72,moderate rain
621,Port Macquarie,AU,-31.4333,152.9167,67.89,77,40,2.3,scattered clouds
622,Belaya Gora,RU,68.5333,146.4167,18.88,82,99,5.03,overcast clouds
623,Tessalit,ML,20.1986,1.0114,77.09,8,0,7.74,clear sky
624,Killarney,IE,52.05,-9.5167,45.12,92,67,4.61,broken clouds
625,Sibolga,ID,1.7427,98.7792,83.37,74,100,1.66,overcast clouds
626,San Jeronimo,PE,-11.9472,-75.2829,48.29,86,65,4.34,broken clouds
627,Ust-Tsilma,RU,65.441,52.1498,30.6,98,100,0.54,overcast clouds
628,Lima,PE,-12.0432,-77.0282,68.9,76,40,10.36,scattered clouds
629,Aguimes,ES,27.9054,-15.4461,59.67,67,75,6.91,broken clouds
630,Itirapina,BR,-22.2528,-47.8228,62.87,80,0,1.23,clear sky
631,Sumter,US,28.7086,-82.0831,73.35,76,5,9.93,clear sky
632,Damara,CF,4.9608,18.7035,72.0,86,100,5.12,overcast clouds
633,Riyadh,SA,24.6877,46.7219,80.74,24,69,8.57,broken clouds
634,Katangli,RU,51.7102,143.2326,27.82,91,100,17.76,light snow
635,Leeuwarden,NL,53.2014,5.8086,47.98,81,4,10.36,clear sky
636,Solwezi,ZM,-12.1688,26.3894,58.3,98,90,3.87,overcast clouds
637,Kabakovo,RU,54.5369,56.1517,37.69,87,0,4.47,clear sky
638,Jiangyou,CN,31.7667,104.7167,73.35,76,59,13.98,broken clouds
639,Gijon,ES,43.5357,-5.6615,54.86,73,83,3.0,broken clouds
640,Novikovo,RU,51.1537,37.8879,50.99,74,100,10.25,overcast clouds
641,Plettenberg Bay,ZA,-34.0527,23.3716,58.93,84,51,8.55,light rain
642,Vila Velha,BR,-20.3297,-40.2925,80.55,85,0,11.5,clear sky
643,Ternate,ID,0.8,127.4,83.8,71,43,3.09,scattered clouds
644,Atbasar,KZ,51.8,68.3333,31.66,41,98,16.22,overcast clouds
645,Znamenskoye,RU,57.1281,73.8282,27.18,72,40,3.69,scattered clouds
646,Lubawa,PL,53.5043,19.7497,39.4,95,55,5.46,broken clouds
647,Upington,ZA,-28.4478,21.2561,57.58,100,20,6.91,few clouds
648,Ozernovskiy,RU,51.5,156.5167,34.9,100,100,4.79,light snow
649,Kulhudhuffushi,MV,6.6221,73.07,83.48,71,99,4.72,overcast clouds
650,Bathsheba,BB,13.2167,-59.5167,77.61,73,20,14.97,few clouds
651,Kiunga,PG,-6.1219,141.2906,84.22,77,77,2.3,broken clouds
652,Hammerfest,NO,70.6634,23.6821,37.85,100,100,14.97,overcast clouds
653,Virtsu,EE,58.5716,23.5115,39.97,67,22,18.54,few clouds
654,Sainte-Anne-Des-Monts,CA,49.124,-66.4924,35.47,69,100,16.11,overcast clouds
655,Puerto Madryn,AR,-42.7692,-65.0385,58.17,38,0,17.83,clear sky
656,Maningrida,AU,-12.0667,134.2667,88.9,51,100,1.5,overcast clouds
657,Nuevo Progreso,MX,23.1667,-97.95,77.54,67,4,1.99,clear sky
658,Luoyang,CN,34.6836,112.4536,78.53,41,100,4.0,overcast clouds
659,Grootfontein,NA,-19.5667,18.1167,54.97,71,1,6.91,clear sky
660,Aksay,RU,47.26,39.87,56.25,63,87,7.0,overcast clouds
661,Erenhot,CN,43.6475,111.9767,59.2,24,63,7.2,broken clouds
662,Kuusamo,FI,65.9667,29.1833,32.04,86,100,1.14,overcast clouds
663,Manaure,CO,11.7751,-72.4445,81.28,71,97,12.1,overcast clouds
664,Santiago De Cao,PE,-7.9589,-79.2392,60.93,100,100,9.22,mist
665,Banagher,IE,53.1886,-7.9867,44.69,86,0,9.57,clear sky
666,Pontes E Lacerda,BR,-15.2261,-59.3353,74.26,82,71,3.42,moderate rain
667,Dingle,PH,10.9995,122.6711,87.21,64,73,9.82,broken clouds
668,Turukhansk,RU,65.8167,87.9833,13.14,88,95,6.89,overcast clouds
669,Taltal,CL,-25.4,-70.4833,61.16,84,22,1.92,few clouds
670,Nichinan,JP,31.6,131.3667,62.28,96,100,5.17,moderate rain
671,Urumqi,CN,43.801,87.6005,65.35,28,0,11.18,clear sky
672,Kirensk,RU,57.7853,108.1119,29.5,81,100,8.84,light snow
673,Enumclaw,US,47.2043,-121.9915,59.74,54,59,1.99,broken clouds
674,Ushtobe,KZ,45.2514,77.9838,54.07,84,100,11.86,overcast clouds
675,Liku,ID,-0.7275,119.8922,87.51,61,8,0.76,clear sky
676,Skaudvile,LT,55.4167,22.6167,41.59,94,100,8.88,light rain
677,Kuching,MY,1.55,110.3333,82.62,83,20,3.44,moderate rain
678,Consuegra,ES,39.4625,-3.608,42.33,83,0,8.77,clear sky
679,Tocopilla,CL,-22.092,-70.1979,65.35,71,59,3.91,broken clouds
680,Laje,BR,-10.1833,-40.9667,70.32,76,8,4.36,clear sky
681,Nikel,RU,69.4128,30.222,35.78,98,100,10.63,overcast clouds
682,Aktau,KZ,43.65,51.2,43.38,68,3,2.51,clear sky
683,Guanare,VE,9.0418,-69.7421,76.66,79,99,1.48,overcast clouds
684,Conceicao Do Araguaia,BR,-8.2578,-49.2647,72.95,93,96,2.86,overcast clouds
685,Birjand,IR,32.8663,59.2211,55.87,54,20,4.61,few clouds
686,Lalmohan,BD,22.3384,90.7419,85.08,73,93,13.06,overcast clouds
687,Eydhafushi,MV,5.1033,73.0708,84.02,71,73,4.92,broken clouds
688,Ginda,IN,30.6945,78.4932,65.55,19,0,3.69,clear sky
689,Vostok,RU,46.4856,135.8833,42.35,79,97,17.56,overcast clouds
690,Shahr-E Babak,IR,30.1165,55.1186,58.12,19,13,6.85,few clouds
691,Mizdah,LY,31.4451,12.9801,55.94,56,54,7.14,broken clouds
692,Kysyl-Syr,RU,63.8986,122.7617,26.56,77,99,2.44,overcast clouds
693,Honningsvag,NO,70.9821,25.9704,38.95,87,100,16.11,light intensity drizzle
694,Takoradi,GH,4.8845,-1.7554,79.54,88,99,6.26,light rain
695,Floro,NO,61.5996,5.0328,46.36,76,17,8.05,few clouds
